,rep1_cond1,rep2_cond1,rep1_cond2,rep2_cond2
argA,151.9514109,160.7946671,148.391298,141.1208136
argB,231.2279378,193.8419479,145.1818042,119.6481749
argC,232.1515946,210.4084531,171.8745873,147.7095071
argD,320.0707007,268.4610547,139.581425,140.3993691
argE,134.4537906,102.8687964,104.2970725,91.16029329
argF,224.7046118,226.0944303,219.7529127,193.2113522
argG,797.7645381,594.562768,475.5003225,432.2348636
argH,268.5622081,272.1957559,169.5437693,183.9703969
argI,137.6072911,132.5194627,129.1568,114.3262439
argO,26.60509445,23.07736889,24.91690616,23.8467288
argP,141.9533563,127.6913327,107.6458994,104.3591439
argQ,143.6834572,204.7325598,106.6455351,167.124182
argR,185.1537294,212.3618792,145.9002443,139.0483839
argS,181.8416071,143.2671926,183.6953642,170.9553159
argT,8.727223733,11.10805098,214.3496163,172.8604047
argU,46.48582438,42.35846065,13.0968201,56.70284747
argV,325.4007706,360.0469156,428.4531146,414.8260947
argW,17.35470777,28.99201307,13.44606863,15.31971669
argX,452.1802917,550.6599885,798.9060259,784.8867834
argY,604.3157169,628.3171664,770.8414114,763.9962607
argZ,333.8527387,395.3456328,514.5179324,513.3099876
arnT,5.511930779,9.207989632,7.930984221,7.367921818
aroA,418.1551959,344.1954823,266.3632087,244.1132425
aroB,364.5444813,332.4497366,317.7632512,284.8707648
aroC,305.6250332,271.2995698,334.4271806,301.3159746
aroD,57.02016139,65.8909388,77.44206666,51.46940388
aroE,96.5474814,87.61322631,116.096354,94.2751796
aroF,516.5091597,466.9581937,544.7836931,460.8788717
aroG,539.5534145,514.1745908,491.4354755,448.6800214
aroH,141.4110321,141.7410381,98.65770784,89.76739433
aroK,550.4384683,477.9933189,494.8440283,442.4228525
aroL,616.7119367,523.9270933,391.3080382,386.4945667
aroM,47.99421396,52.11506774,39.30977713,50.83976776
aroP,70.10089382,67.25767224,109.4642518,121.0859703
arpA,4.910025346,3.728396743,10.73735639,10.50735026
arsB,6.558465144,6.742328621,9.157621494,8.194267064
arsC,25.20710195,14.03662605,20.29084804,14.56451938
arsR,9.192112165,9.213563476,6.511413382,7.140545913
artI,734.3744168,473.0510329,415.4662015,340.6125533
artJ,720.593783,671.3314502,337.9230071,341.8682678
artM,179.4811425,163.3238404,127.2682025,116.1000951
artP,434.7604261,342.266821,289.7110026,260.056919
artQ,152.9429006,150.1155488,110.7110552,118.2630849
ascB,17.12635635,18.69221895,16.27681992,12.73955387
ascF,6.472306137,7.829633159,7.805992225,8.038122952
ascG,18.61266735,16.08284749,14.63382364,14.05062773
asd,1370.279151,1068.489612,780.3521974,729.3517291
aslA,14.14785959,13.1304407,12.78838049,12.07260282
asmA,90.7401286,78.5786762,67.05939222,75.48307007
asnA,42.92799693,45.98431076,15.23346144,16.43051185
asnB,104.9490774,102.516803,77.44035667,74.52835144
asnC,34.7377729,34.34511352,27.3064419,27.03479415
asnS,438.2806953,431.0777104,529.2667119,444.6654383
asnT,8.563178174,0,5.686777147,12.09451317
asnU,8.563178174,14.30526961,30.32947812,27.21265464
asnV,8.563178174,14.30526961,1.895592382,0
aspA,240.9369659,233.0255748,45.71583132,51.33224484
aspC,581.4045675,492.9372499,438.8479399,415.2144875
aspS,367.9800029,343.0844186,314.2941351,273.2145751
aspT,0,0,7.483897198,5.968720786
aspV,122.553537,77.65717787,87.93579208,74.60900983
asr,17.90230777,15.83301685,20.04788319,15.61718691
astA,1.886381279,3.676523397,29.64816376,25.31083626
astB,4.600159704,4.853573617,14.89958179,12.99440255
astC,2.665034977,0.890418092,42.71215203,37.45237863
astD,2.200140437,3.675458046,18.70215284,15.07112088
astE,3.022298179,2.804954825,6.98767388,6.165830245
atoB,4.118997097,3.669875072,5.592397442,5.235852538
atoC,8.92152185,12.15844704,11.2258458,11.10845257
atoS,6.946157665,7.735964079,8.200745589,4.65377272
atpA,1865.462265,1588.497214,1507.450788,1269.092483
atpB,1043.994139,831.3886101,767.6405779,681.2204901
atpC,1303.927374,1208.863402,1126.794272,1116.69792
atpD,1267.95716,1073.443434,1048.455847,892.2654946
atpE,3308.241168,2545.861148,2611.778778,2306.574843
atpF,4181.158097,2733.005054,2739.070623,2059.379749
atpG,1754.30184,1325.025597,1193.872165,907.746407
atpH,1333.899414,1184.926377,1179.228852,1016.437382
atpI,463.7601534,321.0237668,423.4982247,378.1678095
avtA,142.460146,107.5062686,146.0180556,140.7361533
azoR,68.73151591,86.11489031,88.91141564,100.4882406
bacA,54.23346177,56.21170417,56.43422966,51.43846478
baeR,77.86214844,84.96103415,83.88848391,79.45911144
baeS,9.270677226,9.679491543,9.54276849,9.820331208
barA,29.62480719,24.25202399,24.14147252,19.92063269
basR,29.67032438,30.87714396,31.87088657,31.2577179
basS,28.01068905,22.401109,30.47529292,41.24539108
bax,390.4809248,299.8037715,367.2348355,328.9560983
bcp,762.7228254,796.3570469,660.6803514,654.259238
bcr,79.50598174,80.3305148,65.44011452,74.09031747
bcsA,2.857662361,3.94364439,6.270871478,5.703216406
bcsB,3.893684435,3.94923255,6.156624832,6.088605349
bcsC,18.63982538,15.33472194,17.7489433,17.19830025
bcsE,38.70861584,33.8885649,69.92468898,46.19303886
bcsF,28.81152657,25.48126149,37.51693257,43.08670318
bcsG,12.39621983,11.32500511,24.26809581,19.6967786
bcsZ,3.82132793,5.401628451,5.986441707,4.982021686
bdm,55.73994682,20.13334241,110.0496689,68.08762971
betA,13.8261249,10.73537288,237.3494931,221.5445564
betB,33.35744492,26.94013434,543.0067868,488.2964687
betI,52.01985109,44.37553021,818.5735296,770.6755434
betT,8.159016373,10.15575679,286.0760177,257.0232703
bfd,8.343609503,5.575387129,237.8919835,164.9815643
bfr,446.8291504,302.0001361,371.186396,356.0147997
bglA,145.300483,135.9000613,137.4620409,123.3556354
bglJ,3.650329158,4.355771194,66.49154818,63.70939871
bglX,86.377054,78.53580564,69.58754281,65.39879055
bioA,35.31481232,43.82513604,57.96104336,58.60682313
bioB,77.52102893,75.71761338,116.8019959,116.9949545
bioC,34.00351968,51.05240397,57.35922135,63.83215285
bioD,45.11456112,44.89913529,59.49587891,59.65199417
bioF,41.6963758,55.53664841,63.48839457,77.1954555
bioH,34.60812347,36.66305155,33.82071182,37.85221827
bipA,484.533165,516.4798381,566.3872073,522.9617102
birA,36.04335658,40.51678845,41.31057022,38.53717551
bisC,51.37906905,46.96896854,60.53258341,55.13082254
blc,38.9993433,37.66518552,79.85626636,60.24607685
blr,111.0494693,142.3714928,53.7385396,63.83215285
bolA,323.3542249,218.8076458,499.2441925,445.1389376
borD,100.7192861,64.71431489,68.60239098,62.52945586
brnQ,193.0218208,218.6755531,188.9216299,202.2898953
btuB,86.24443189,70.712227,68.32351948,53.93038475
btuC,17.91196903,24.93579106,22.17514595,22.25341109
btuD,71.15430184,71.75523235,68.95912342,62.81083841
btuE,74.27626286,82.72177642,137.5403371,89.0874829
btuF,36.15564118,25.78877567,26.97846836,27.25417762
btuR,73.22893823,66.22541057,71.91062811,50.54728855
cadA,5.605134317,5.061454796,5.23141138,5.242081827
cadC,8.034586929,9.890062938,5.14852252,5.673969143
caiA,22.49051696,29.0110367,19.28429416,19.50147662
caiB,15.7624347,11.1576405,10.88175857,9.621989544
caiC,16.59149882,17.66960644,13.03838941,11.71680052
caiE,8.809496328,19.31574475,8.288004596,7.776505931
caiF,373.8821986,266.309211,29.46784522,23.21169195
can,249.326684,269.7503478,833.3172787,751.0820375
carA,274.9905555,259.7358873,297.909913,186.5965492
carB,173.3046935,174.9576208,180.0589199,135.5809191
cbl,73.90806147,68.02148177,349.7856295,271.8403986
cbpA,757.1485901,678.762521,393.2458881,382.9929171
cbpM,266.913704,330.4236784,190.6742926,246.3170134
cca,112.1437684,142.5908633,128.484139,149.8587298
cchA,6.640832054,5.546941276,8.330290334,9.379418379
ccmA,53.19051058,55.75387129,36.2471287,30.56578089
ccmB,12.76081453,23.77738628,9.343583568,10.74459768
ccmC,28.21903702,31.67318501,17.76411506,17.74845226
ccmD,21.69338471,23.29715336,14.40650211,16.41398216
ccmE,52.87762523,69.08253114,28.51286875,27.76698649
ccmF,11.88449317,14.82037705,11.9313109,10.40227676
ccmG,13.41257657,14.61290981,14.45813831,9.060047502
ccmH,14.52406099,17.55214466,11.76599412,14.40315244
cdaR,10.95909331,11.73575659,10.94794633,10.12053822
cdd,57.35877991,57.12409355,72.76504454,112.1714849
cdh,28.40800379,24.44763007,44.40099194,45.29043226
cdsA,76.60950544,79.82940662,85.80096243,87.57949923
cedA,29.58188824,30.88637756,35.47055443,31.33578413
cfa,1229.386201,1246.16453,1058.482949,1101.379632
chaA,15.95971082,16.29319536,56.13432701,64.70180071
chaB,101.4236168,94.12991256,147.1833116,137.2805781
chaC,130.7049121,150.8737082,150.8965562,146.4667474
chbA,15.76015128,20.13334241,14.36545794,9.820331208
chbB,22.30161045,27.09533932,24.68403788,28.63498446
chbC,5.028267979,7.200003246,7.632583898,4.903662074
chbF,9.860629413,7.633706324,10.64782122,8.152399123
chbG,32.54007706,39.86401797,31.50221794,27.57549003
chbR,13.89611832,13.54164312,12.30448579,10.63112012
cheA,199.8772164,279.1311182,156.6019771,265.6976817
cheB,58.88204421,64.71431489,40.61261546,56.90180483
cheR,54.42242854,90.28436126,45.84647593,88.87570829
cheW,384.1536876,516.6359472,362.1634557,558.9872814
cheY,197.7435452,271.8001225,157.3633307,177.9444015
cheZ,157.9076608,204.7982319,130.2169105,177.0674231
chiA,18.118083,16.34432808,15.18725538,16.71862177
chpA,68.76028189,76.03931999,66.45856627,71.81117196
chpB,36.15564118,29.42565429,38.99195727,32.07974861
chpR,109.7737539,91.6916076,81.00041345,77.52145792
chpS,37.44691408,32.35715744,34.30119549,24.62097324
cirA,8.494397627,6.276508854,140.882862,61.37115419
citA,16.86827382,20.64304728,19.7123326,14.95957868
citB,33.92577785,27.14010034,24.11661146,17.88425076
citT,4.223097433,5.940986285,5.11706359,4.238036378
clcA,62.92912231,58.48863396,50.85839703,51.22732267
clcB,31.06451271,23.35275516,12.95095257,10.6031452
cld,411.6435845,407.838716,487.1189346,428.6709715
clpA,331.6887082,303.4325479,595.8736796,572.3195871
clpB,686.8307641,569.3652916,526.7832083,572.8824124
clpP,599.6969331,540.1156281,516.9256125,519.9865375
clpS,422.716889,318.370237,412.4478329,342.9039389
clpX,603.3313112,592.6308554,689.7042263,747.6021742
cls,166.8207921,157.0152659,148.1079135,153.0398802
cmk,266.8857198,220.1422045,307.2965873,264.3994963
cmr,11.34812095,9.258398334,18.57772778,18.82349617
coaA,64.32738683,54.3028636,55.29309431,51.4684488
coaD,32.54007706,36.24001634,44.42004816,42.12922088
coaE,77.55123036,88.41163406,80.7320891,88.06986887
cobB,160.3760941,125.5457709,81.12232734,80.97564534
cobC,25.52162907,31.976485,25.89403973,23.65544488
cobS,18.36939834,21.91936472,20.71902857,16.0609933
cobT,28.92451294,28.18667937,26.14513345,23.61789656
cobU,23.8388843,26.8813308,24.27469219,23.98966624
codA,164.7278044,168.4991414,149.3384292,124.5621824
codB,60.17331711,61.26288476,75.91997936,56.71942725
cof,10.33018319,13.93846782,13.7204782,15.15136815
copA,163.8045396,158.6314488,415.5743881,573.1592206
corA,95.12241245,71.45113631,121.9477833,105.8365285
cpdA,189.031124,224.530536,183.2131246,200.9325159
cpdB,34.14699445,26.28519703,26.30817,20.68634583
cpsG,2.373455657,3.568491762,6.094654429,5.195965178
cpxA,155.1219103,132.5371777,117.9571679,115.90135
cpxP,230.5734003,355.8899808,618.5306593,705.8995203
cpxR,204.8302419,174.9786197,202.8039782,204.8108046
crcA,23.781518,26.16257864,15.92162443,14.74625135
crcB,68.63922505,65.11877936,79.91106637,68.8190398
creA,123.5699129,77.98484528,96.04334738,80.96179387
creB,41.50038814,30.72523124,38.83491872,29.30728409
creC,15.75624784,13.35158497,16.37791818,14.02963528
creD,5.531572598,4.419514187,6.069258094,7.473032529
crl,186.9840249,159.564251,1062.927494,917.4681074
crp,765.951261,731.670472,974.9992895,935.1561654
crr,1616.157161,1721.400776,1064.386273,1110.67946
csdA,89.84946652,85.64182965,78.72209692,73.35933985
csgA,19.98074907,25.03422181,20.53558414,19.65358391
csgB,7.135981812,4.768423202,7.898301594,5.039380488
csgC,10.74897441,14.69189852,8.652553818,12.42139191
csgD,15.49527479,12.52535127,27.88355246,20.82634296
csgE,6.674887603,9.756927475,12.19011717,14.14127694
csgF,8.583713374,2.60719542,11.05534934,7.714965237
csgG,12.48540127,14.99137366,17.10124351,12.95012022
csiE,25.65611072,21.64216432,29.57775218,27.44633083
csiR,53.49726093,55.75387129,75.40054647,79.71798275
cspA,1150.360471,3159.516917,779.1685646,1110.140033
cspB,231.9986976,294.4501327,217.431467,253.200873
cspC,92.97164875,88.01146825,63.11419971,59.09033579
cspD,740.4675314,756.2083409,607.6342444,733.303772
cspE,2832.536232,5927.831244,3456.874482,3484.14128
cspF,42.77568816,28.07325209,31.11263366,42.07527822
cspG,32.08176612,48.4901627,22.31993284,34.52330521
cspH,10.69392204,5.104227653,8.792700816,7.551973014
cspI,7.638515743,7.65634148,11.49814722,5.394266438
csrA,1791.453705,1943.517005,1897.630654,1947.086572
cstA,14.3695497,10.84103053,50.21069585,50.52014833
cueO,29.16228699,21.72999045,122.0512171,136.7514362
cueR,344.5419924,365.0648705,225.6312462,261.3363435
cusA,3.932960968,5.187025239,13.88412894,9.501732677
cusB,3.987754542,4.88529632,40.84196267,35.67090895
cusC,2.841928128,4.747600394,100.9713357,111.0512214
cusF,10.74897441,9.79459901,132.3840734,107.6520632
cusR,27.11673089,27.02106481,63.18641275,49.72188749
cusS,18.49124268,17.32890594,26.15733577,22.29480599
cutA,184.2977816,128.2832437,142.7901094,119.3039883
cutC,125.8913289,95.33016346,95.65763112,139.6616742
cvpA,182.9963434,242.3412135,202.3980971,205.3593924
cvrA,38.02899047,41.9357702,34.41967976,33.33824356
cyaA,381.7422468,396.1217333,355.6092609,340.3178524
cyaY,80.0830557,79.59255925,67.3201033,85.90495337
cybB,88.85708426,70.63731998,132.1274299,107.7573292
cycA,83.82581777,70.40257951,108.8899098,111.7265962
cydA,525.7431189,451.0946584,409.9747094,389.2906974
cydB,711.8855456,496.8696977,456.5850185,396.9016073
cydC,52.34379411,50.19305399,55.04923569,59.65081322
cydD,45.6702836,37.5321052,39.78705732,37.06383069
cynR,13.37758724,16.91200762,13.92628537,14.04307363
cynS,11.05395399,6.924843886,12.54069186,9.269892262
cynT,9.367597942,14.00182449,8.294652728,9.748910618
cynX,3.380787227,7.530393005,6.486044239,7.162464944
cyoA,12.70024105,10.89494162,1664.498076,1422.649007
cyoB,7.187567223,7.095183921,1000.861359,851.2363661
cyoC,11.11124583,7.955125537,746.0928327,685.6507346
cyoD,6.902440589,23.06182858,991.4292813,922.6647549
cyoE,13.87792288,14.03232956,616.3589902,559.1438682
cysA,555.9670726,647.0724229,1131.527087,1191.463758
cysB,190.9017854,148.3052976,558.2334868,409.6256554
cysC,267.4085541,217.081286,589.8107546,501.3036004
cysD,876.6848045,706.2617045,1854.143764,1409.868976
cysE,188.8274545,176.5708825,235.3763057,214.4201222
cysG,68.20627507,74.7747062,47.49741961,49.50476134
cysH,865.5217777,831.3015992,1621.564516,1496.642526
cysI,881.0325594,811.4336408,1508.772024,1502.861524
cysJ,802.474456,753.7923398,1424.402878,1247.024938
cysK,7191.959625,6809.543811,10227.72721,9682.628342
cysM,493.4531423,418.429136,735.4898444,678.8045518
cysN,644.1932623,604.888508,1410.888879,1271.922696
cysP,673.1988411,619.5011642,1212.016047,1072.606122
cysQ,76.40989756,82.16359979,114.3188021,96.75610538
cysS,132.1793895,115.7013509,139.0757563,122.5245739
cysT,549.6634639,734.5949258,578.2069089,711.1246867
cysU,246.1965063,257.4605477,467.6067291,451.3254664
cysW,299.0269639,278.626153,575.7667109,564.7833908
cysZ,37.57909162,37.80946586,54.63883345,60.91698367
cytR,68.82258014,63.04915123,42.26468942,37.62737431
dacA,226.330734,196.4495935,194.8206019,144.6651464
dacB,43.79522227,44.35232125,44.6059061,41.98499761
dacC,158.7782646,138.7242521,216.0376542,196.7494786
dacD,12.82642284,22.82468895,17.28286457,13.78380679
dadA,49.3486927,34.73350296,644.2445784,659.6677081
dadX,34.94032551,28.93110548,457.6183022,452.0818355
dam,100.6915168,92.87316015,88.98639891,92.79685017
damX,419.7088417,397.4575218,334.6965136,335.4982244
dapA,740.0183623,698.2078233,608.0560047,584.5543773
dapB,171.0135437,160.6993425,105.857996,124.123252
dapD,516.3025561,515.2671414,512.6968507,493.5734176
dapE,83.08104782,70.8415213,101.9183394,78.22834052
dapF,168.0251252,155.5026156,178.2913776,164.8958596
dbpA,24.39321643,17.01223474,32.08434967,31.77670491
dcd,307.5093193,296.0846696,262.3864645,249.1428152
dcm,106.8617048,82.74676035,94.21588411,87.28675786
dcp,154.9073072,115.0434536,135.4746337,118.2673143
dcrB,179.0287394,227.9613931,238.3011012,244.6212826
dctA,13.65317919,13.93846782,19.25344493,20.17631685
dcuA,86.59859218,96.44520477,48.53803577,56.21347655
dcuB,70.37003988,35.26712999,11.81741411,8.396712724
dcuR,74.57100994,58.89002655,55.02483444,51.70404381
dcuS,37.88366815,36.30663401,29.21906984,30.83656208
ddg,16.95899782,40.13552298,20.64775546,20.95857006
ddlA,333.4243513,276.516289,217.478977,188.8732194
ddlB,168.1767284,171.1662009,149.8526495,137.9772529
ddpA,3.147009387,4.205804604,7.523705162,5.33375049
ddpC,6.892546981,9.696325441,7.06673459,6.916928938
ddpD,5.604673861,4.95684114,6.130426428,7.915963029
ddpF,30.5392309,28.1475855,45.69052448,35.94431908
ddpX,1.118215707,2.802063119,7.426032014,5.132894766
deaD,262.0423137,253.3924952,220.0612253,222.1358919
dedA,63.10802824,63.42002859,61.11849379,57.10076219
dedD,93.25210621,93.46972539,97.99898115,82.83738208
def,350.284359,293.1177792,364.6822396,362.7168215
degP,240.6823946,175.0965,309.3606768,376.8650305
degQ,52.56839935,38.54475422,57.92087835,46.19432114
degS,50.57727334,62.09665721,54.09182907,52.9304818
deoA,131.0949439,95.73609758,93.75660101,78.68289862
deoB,324.0715191,322.873675,355.4545454,341.6897594
deoC,173.1298972,126.8400572,79.78985782,85.43688151
deoD,436.5793673,364.6651644,387.775015,365.7582359
deoR,84.45843454,80.21505592,68.52104428,61.76328466
der,189.9827989,160.9027202,194.8252016,183.7741981
dfp,116.195525,87.260973,103.5946671,86.76154044
dgkA,86.42080087,76.60491258,96.43376749,84.69436867
dgoA,5.791923102,3.518448188,5.361643179,4.09021562
dgoD,9.062510583,4.257965366,9.278339042,8.199848356
dgoK,4.072137061,6.802733442,9.669893337,8.104286984
dgoR,34.42645834,40.17914855,27.97784467,32.63765729
dgoT,3.271624144,5.045013875,5.905217414,4.620796216
dgsA,77.28601432,68.11698402,42.00421581,38.39339317
dgt,36.01273351,28.64823426,45.26944338,34.96891852
dhaH,209.1370703,180.8169948,104.2669321,116.4363245
dhaK,215.4147025,172.0639431,119.17984,113.9323468
dhaL,251.3759508,196.6579086,99.45721044,108.5449121
dhaR,21.86286428,17.83688304,18.60839855,18.55121942
dicA,153.1297744,167.8765463,106.2832631,118.8404493
dicC,4.225984034,2.353247814,7.483897198,10.94265478
dinB,35.43663695,29.85683164,28.78571917,30.03012646
dinD,10.64947977,11.2014596,16.58930546,13.92701517
dinF,10.37509703,13.39304952,10.75267911,10.3241569
dinG,21.48159434,14.15230764,20.15972633,15.70431208
dinI,104.4986215,154.6829966,101.3140189,107.4248426
dinJ,211.9468621,212.4414751,162.8321119,164.6429322
dipZ,96.58538775,77.47423987,82.55315989,76.8692498
djlA,73.37468357,58.62355584,72.38561108,61.67312415
djlC,7.619577274,5.615705011,8.433558396,7.754815264
dkgA,220.470812,179.2305156,190.6947622,174.5670615
dkgB,7.689819206,7.437316786,16.66423751,17.14893659
dksA,706.4621994,680.6924121,902.6179061,821.9229577
dld,107.3291586,106.1224255,164.8016529,154.8041301
dmsA,81.45000884,211.4371505,8.661577954,9.210627209
dmsB,71.08269261,249.8098214,12.3550908,9.667782374
dmsC,54.61008303,174.9084122,15.17351495,18.88367855
dmsD,73.01675829,159.1025107,61.13978943,57.16869885
dnaA,181.9370406,180.0385427,175.6690285,180.2030777
dnaB,105.7092899,99.04580736,116.0862917,104.1870563
dnaC,69.66574764,65.55612711,51.14503458,56.35912032
dnaE,81.6538253,83.49874565,77.71983192,75.27905572
dnaG,120.580927,124.2247983,124.8398493,117.9249669
dnaJ,228.1545633,194.1772759,268.7685185,270.025245
dnaK,1516.330247,1329.367735,1499.643973,1666.708457
dnaN,169.0547146,147.6262246,142.2331316,140.2568067
dnaQ,153.8096539,154.4656434,148.5916542,136.8728786
dnaT,57.84902589,51.34002314,54.42456351,51.06572228
dnaX,120.4252334,105.7938365,110.9569106,112.5190371
dos,9.355272156,8.833503982,18.12818182,15.41546491
dppA,1235.430165,831.9653004,1019.475046,800.8553386
dppB,165.5715686,121.510643,135.3081276,121.8818636
dppC,137.2953418,122.2047063,124.1224655,111.9713512
dppD,254.9634087,183.9622781,177.299533,176.083329
dppF,299.4982217,189.3135182,184.9192808,176.0624156
dps,3793.759778,3415.837254,5405.296723,5081.495311
dsbA,266.7559746,276.5685457,297.7803306,294.6663209
dsbB,45.96056082,63.47121505,72.43947387,79.62790593
dsbC,223.3411759,197.2557851,159.6669994,158.3683792
dsbG,77.53860398,64.03858309,64.02889825,49.52759812
dsdA,14.20108706,10.63476777,17.56097322,14.52433636
dsdC,9.038910295,9.873081374,15.85330894,14.97600509
dsdX,6.323183884,5.281616731,8.075393558,4.465388271
dsrB,41.32073278,60.40002723,60.9799031,58.36082547
dtd,179.7876404,146.4493811,116.7650285,138.5070276
dusB,575.3462901,593.6834975,296.0342307,274.7557884
dusC,18.19223718,10.32152364,20.05968648,14.54403483
dut,170.5499653,133.5158497,197.1416078,164.787742
dxr,54.36938523,68.12033146,60.77931131,53.36943908
dxs,120.5188039,106.5024635,97.97658706,94.73061525
eamA,19.16248983,19.32800871,43.37957857,36.51199143
